,VAR1,ds,y
0,0.0,2015-01-02,4.0
1,1.0,2015-01-05,6.0
2,2.0,2015-01-06,4.0
3,3.0,2015-01-07,4.0
4,4.0,2015-01-08,4.0
5,5.0,2015-01-09,7.0
6,6.0,2015-01-12,7.0
7,7.0,2015-01-13,7.0
8,8.0,2015-01-14,7.0
9,9.0,2015-01-15,9.0
10,10.0,2015-01-16,9.0
11,11.0,2015-01-19,14.0
12,12.0,2015-01-20,14.0
13,13.0,2015-01-21,16.0
14,14.0,2015-01-22,13.0
15,15.0,2015-01-23,9.0
16,16.0,2015-01-26,11.0
17,17.0,2015-01-27,19.0
18,18.0,2015-01-28,12.0
19,19.0,2015-01-29,14.0
20,20.0,2015-01-30,5.0
21,21.0,2015-02-02,10.0
22,22.0,2015-02-03,10.0
23,23.0,2015-02-04,7.0
24,24.0,2015-02-05,10.0
25,25.0,2015-02-06,4.0
26,26.0,2015-02-09,9.0
27,27.0,2015-02-10,11.0
28,28.0,2015-02-11,10.0
29,29.0,2015-02-12,7.0
30,30.0,2015-02-13,12.0
31,31.0,2015-02-16,11.0
32,32.0,2015-02-17,12.0
33,33.0,2015-02-18,9.0
34,34.0,2015-02-19,11.0
35,35.0,2015-02-20,9.0
36,36.0,2015-02-23,9.0
37,37.0,2015-02-24,7.0
38,38.0,2015-02-25,11.0
39,39.0,2015-02-26,12.0
40,40.0,2015-02-27,15.0
41,41.0,2015-03-02,15.0
42,42.0,2015-03-03,14.0
43,43.0,2015-03-04,14.0
44,44.0,2015-03-05,16.0
45,45.0,2015-03-06,7.0
46,46.0,2015-03-09,14.0
47,47.0,2015-03-10,11.0
48,48.0,2015-03-11,9.0
49,49.0,2015-03-12,12.0
50,50.0,2015-03-13,15.0
51,51.0,2015-03-16,22.0
52,52.0,2015-03-17,15.0
53,53.0,2015-03-18,16.0
54,54.0,2015-03-19,20.0
55,55.0,2015-03-20,18.0
56,56.0,2015-03-23,15.0
57,57.0,2015-03-24,18.0
58,58.0,2015-03-25,11.0
59,59.0,2015-03-26,14.0
60,60.0,2015-03-27,10.0
61,61.0,2015-03-30,25.0
62,62.0,2015-03-31,11.0
63,63.0,2015-04-01,21.0
64,64.0,2015-04-02,11.0
65,65.0,2015-04-03,0.0
66,66.0,2015-04-07,16.0
67,67.0,2015-04-08,17.0
68,68.0,2015-04-09,11.0
69,69.0,2015-04-10,8.0
70,70.0,2015-04-13,14.0
71,71.0,2015-04-14,16.0
72,72.0,2015-04-15,17.0
73,73.0,2015-04-16,20.0
74,74.0,2015-04-17,18.0
75,75.0,2015-04-20,22.0
76,76.0,2015-04-21,20.0
77,77.0,2015-04-22,16.0
