GR,МКБ-10,Всего,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74
Всего,A00-A09,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Всего,"A35, A36, A80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Всего,A37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Всего,A39,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Всего,"A40.3, A41.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Всего,A49.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Всего,"A50-A60, A63, A64",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Всего,B01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Всего,B05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Всего,B06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Всего,B15-B19,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Всего,B20-B24,28,0,0,0,0,0,1,3,4,7,5,3,2,1,2,0
Всего,B50-B54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Всего,"G00.0, G00.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Всего,"A15-A19, B90, J65",43,0,0,0,0,0,0,2,2,7,4,3,7,10,5,3
Всего,A38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Всего,"A40 (excl. A40.3), A41 (excl. A41.3)",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Всего,"A46, L03",13,0,0,0,0,0,0,0,0,4,0,1,3,3,0,2
Всего,A48.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Всего,A49.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Всего,"G00.2, G00.3, G00.8, G00.9",2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Всего,G03,8,0,0,0,0,0,0,0,0,0,1,0,1,3,2,1
Всего,C00-C14,45,0,0,0,0,0,0,1,2,1,4,7,9,12,4,5
Всего,C15,29,0,0,0,0,0,0,2,0,1,0,2,4,8,9,3
Всего,C16,121,0,0,0,0,1,0,1,5,4,8,10,12,18,35,27
Всего,C22,69,3,0,0,0,0,1,0,2,1,3,9,12,14,11,13
Всего,C33-C34,194,0,0,0,3,0,2,4,2,2,6,15,20,49,52,39
Всего,C45,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
