GR,F1,AGE,Count
Всего,C16,Всего,121
Всего,C16,0-4,0
Всего,C16,5-9,0
Всего,C16,10-14,0
Всего,C16,15-19,0
Всего,C16,20-24,1
Всего,C16,25-29,0
Всего,C16,30-34,1
Всего,C16,35-39,5
Всего,C16,40-44,4
Всего,C16,45-49,8
Всего,C16,50-54,10
Всего,C16,55-59,12
Всего,C16,60-64,18
Всего,C16,65-69,35
Всего,C16,70-74,27
Всего,C33-C34,Всего,194
Всего,C33-C34,0-4,0
Всего,C33-C34,5-9,0
Всего,C33-C34,10-14,0
Всего,C33-C34,15-19,3
Всего,C33-C34,20-24,0
Всего,C33-C34,25-29,2
Всего,C33-C34,30-34,4
Всего,C33-C34,35-39,2
Всего,C33-C34,40-44,2
Всего,C33-C34,45-49,6
Всего,C33-C34,50-54,15
Всего,C33-C34,55-59,20
Всего,C33-C34,60-64,49
Всего,C33-C34,65-69,52
Всего,C33-C34,70-74,39
Всего,C18-C21,Всего,140
Всего,C18-C21,0-4,0
Всего,C18-C21,5-9,0
Всего,C18-C21,10-14,0
Всего,C18-C21,15-19,0
Всего,C18-C21,20-24,1
Всего,C18-C21,25-29,1
Всего,C18-C21,30-34,0
Всего,C18-C21,35-39,5
Всего,C18-C21,40-44,3
Всего,C18-C21,45-49,6
Всего,C18-C21,50-54,11
Всего,C18-C21,55-59,22
Всего,C18-C21,60-64,29
Всего,C18-C21,65-69,30
Всего,C18-C21,70-74,32
Всего,C50,Всего,106
Всего,C50,0-4,0
Всего,C50,5-9,0
Всего,C50,10-14,0
Всего,C50,15-19,0
Всего,C50,20-24,0
Всего,C50,25-29,0
Всего,C50,30-34,2
Всего,C50,35-39,2
Всего,C50,40-44,8
Всего,C50,45-49,10
Всего,C50,50-54,15
Всего,C50,55-59,8
Всего,C50,60-64,17
Всего,C50,65-69,18
Всего,C50,70-74,26
Всего,E10-E14,Всего,336
Всего,E10-E14,0-4,0
Всего,E10-E14,5-9,0
Всего,E10-E14,10-14,0
Всего,E10-E14,15-19,1
Всего,E10-E14,20-24,0
Всего,E10-E14,25-29,0
Всего,E10-E14,30-34,1
Всего,E10-E14,35-39,2
Всего,E10-E14,40-44,6
Всего,E10-E14,45-49,9
Всего,E10-E14,50-54,18
Всего,E10-E14,55-59,29
Всего,E10-E14,60-64,71
Всего,E10-E14,65-69,98
Всего,E10-E14,70-74,101
Всего,"I10-I13, I15",Всего,188
Всего,"I10-I13, I15",0-4,0
